MaxDepDepth, 7, MaxDepLength, 2, DiffWords, 3, WordCount, 11.0, FreqRank, 10.55, 
MaxDepDepth, 9, MaxDepLength, 7, DiffWords, 4, WordCount, 10.0, FreqRank, 10.6, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 4, WordCount, 15.0, FreqRank, 9.47, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 1, WordCount, 7.0, FreqRank, 8.77, 
MaxDepDepth, 5, MaxDepLength, 12, DiffWords, 3, WordCount, 17.0, FreqRank, 10.02, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 0, WordCount, 8.0, FreqRank, 9.6, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 3, WordCount, 14.0, FreqRank, 8.96, 
MaxDepDepth, 2, MaxDepLength, 2, DiffWords, 2, WordCount, 4.0, FreqRank, 12.88, 
MaxDepDepth, 8, MaxDepLength, 19, DiffWords, 5, WordCount, 28.0, FreqRank, 9.42, 
MaxDepDepth, 4, MaxDepLength, 11, DiffWords, 5, WordCount, 21.0, FreqRank, 9.1, 
MaxDepDepth, 3, MaxDepLength, 2, DiffWords, 0, WordCount, 7.0, FreqRank, 6.16, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 3, WordCount, 11.0, FreqRank, 10.64, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 6, WordCount, 24.0, FreqRank, 12.2, 
MaxDepDepth, 8, MaxDepLength, 7, DiffWords, 7, WordCount, 29.0, FreqRank, 9.17, 
MaxDepDepth, 3, MaxDepLength, 2, DiffWords, 2, WordCount, 8.0, FreqRank, 10.32, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 11.06, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 2, WordCount, 14.0, FreqRank, 8.88, 
MaxDepDepth, 5, MaxDepLength, 9, DiffWords, 4, WordCount, 21.0, FreqRank, 9.13, 
MaxDepDepth, 10, MaxDepLength, 13, DiffWords, 7, WordCount, 28.0, FreqRank, 9.49, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 11.52, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 2, WordCount, 10.0, FreqRank, 8.67, 
MaxDepDepth, 5, MaxDepLength, 12, DiffWords, 6, WordCount, 19.0, FreqRank, 9.35, 
MaxDepDepth, 6, MaxDepLength, 9, DiffWords, 3, WordCount, 21.0, FreqRank, 8.97, 
MaxDepDepth, 9, MaxDepLength, 12, DiffWords, 6, WordCount, 31.0, FreqRank, 9.85, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 15.0, FreqRank, 9.21, 
MaxDepDepth, 6, MaxDepLength, 14, DiffWords, 4, WordCount, 20.0, FreqRank, 8.65, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 0, WordCount, 11.0, FreqRank, 7.19, 
MaxDepDepth, 3, MaxDepLength, 5, DiffWords, 3, WordCount, 12.0, FreqRank, 8.38, 
MaxDepDepth, 6, MaxDepLength, 15, DiffWords, 4, WordCount, 24.0, FreqRank, 8.62, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 5, WordCount, 10.0, FreqRank, 8.29, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 4, WordCount, 9.0, FreqRank, 10.2, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 9.11, 
MaxDepDepth, 6, MaxDepLength, 12, DiffWords, 3, WordCount, 16.0, FreqRank, 10.2, 
MaxDepDepth, 6, MaxDepLength, 8, DiffWords, 4, WordCount, 17.0, FreqRank, 8.03, 
MaxDepDepth, 2, MaxDepLength, 4, DiffWords, 1, WordCount, 3.0, FreqRank, 8.46, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 9.0, FreqRank, 10.26, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 2, WordCount, 7.0, FreqRank, 6.8, 
MaxDepDepth, 1, MaxDepLength, 2, DiffWords, 0, WordCount, 3.0, FreqRank, 10.55, 
MaxDepDepth, 5, MaxDepLength, 4, DiffWords, 2, WordCount, 12.0, FreqRank, 9.31, 
MaxDepDepth, 7, MaxDepLength, 2, DiffWords, 3, WordCount, 11.0, FreqRank, 10.77, 
MaxDepDepth, 1, MaxDepLength, 4, DiffWords, 2, WordCount, 4.0, FreqRank, 9.62, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 9, WordCount, 15.0, FreqRank, 9.47, 
MaxDepDepth, 6, MaxDepLength, 12, DiffWords, 8, WordCount, 14.0, FreqRank, 9.83, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 2, WordCount, 9.0, FreqRank, 10.72, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 3, WordCount, 10.0, FreqRank, 9.93, 
MaxDepDepth, 4, MaxDepLength, 6, DiffWords, 2, WordCount, 12.0, FreqRank, 8.23, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 8, WordCount, 16.0, FreqRank, 10.4, 
MaxDepDepth, 5, MaxDepLength, 10, DiffWords, 6, WordCount, 13.0, FreqRank, 9.86, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 9.0, FreqRank, 5.29, 
MaxDepDepth, 7, MaxDepLength, 3, DiffWords, 3, WordCount, 14.0, FreqRank, 9.67, 
MaxDepDepth, 2, MaxDepLength, 3, DiffWords, 1, WordCount, 7.0, FreqRank, 8.42, 
MaxDepDepth, 6, MaxDepLength, 17, DiffWords, 7, WordCount, 23.0, FreqRank, 9.15, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 1, WordCount, 10.0, FreqRank, 8.41, 
MaxDepDepth, 4, MaxDepLength, 13, DiffWords, 7, WordCount, 18.0, FreqRank, 14.03, 
MaxDepDepth, 7, MaxDepLength, 5, DiffWords, 2, WordCount, 17.0, FreqRank, 9.07, 
MaxDepDepth, 5, MaxDepLength, 4, DiffWords, 1, WordCount, 11.0, FreqRank, 10.58, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 8, WordCount, 18.0, FreqRank, 8.84, 
MaxDepDepth, 6, MaxDepLength, 5, DiffWords, 5, WordCount, 18.0, FreqRank, 7.91, 
MaxDepDepth, 8, MaxDepLength, 18, DiffWords, 10, WordCount, 38.0, FreqRank, 8.05, 
MaxDepDepth, 6, MaxDepLength, 3, DiffWords, 1, WordCount, 14.0, FreqRank, 9.23, 
MaxDepDepth, 11, MaxDepLength, 9, DiffWords, 5, WordCount, 24.0, FreqRank, 9.03, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 0, WordCount, 1.0, FreqRank, 7.66, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 3, WordCount, 8.0, FreqRank, 9.38, 
MaxDepDepth, 7, MaxDepLength, 10, DiffWords, 8, WordCount, 23.0, FreqRank, 8.77, 
