Line,abs_src_MaxDepDepth,abs_src_MaxDepLength,abs_src_DiffWords,abs_src_WordCount,abs_tgt_MaxDepDepth,abs_tgt_MaxDepLength,abs_tgt_DiffWords,abs_tgt_WordCount,MaxDepDepth_ratio,MaxDepLength_ratio,DiffWords_ratio,WordCount_ratio
1,5.0,7.0,3.0,11.0,7.0,2.0,3.0,11.0,1.4,0.29,1.0,1.0
2,8.0,9.0,4.0,14.0,9.0,7.0,4.0,10.0,1.12,0.78,1.0,0.71
3,6.0,13.0,9.0,32.0,5.0,8.0,4.0,15.0,0.83,0.62,0.44,0.47
4,3.0,4.0,1.0,7.0,3.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0
5,4.0,12.0,2.0,14.0,5.0,12.0,3.0,17.0,1.25,1.0,1.5,1.21
6,7.0,12.0,4.0,21.0,4.0,3.0,0.0,8.0,0.57,0.25,0.12,0.38
7,4.0,6.0,2.0,13.0,4.0,6.0,3.0,14.0,1.0,1.0,1.5,1.08
8,4.0,13.0,7.0,20.0,2.0,2.0,2.0,4.0,0.5,0.15,0.29,0.2
9,8.0,19.0,5.0,30.0,8.0,19.0,5.0,28.0,1.0,1.0,1.0,0.93
10,9.0,13.0,10.0,35.0,4.0,11.0,5.0,21.0,0.44,0.85,0.5,0.6
11,5.0,14.0,3.0,13.0,3.0,2.0,0.0,7.0,0.6,0.14,0.17,0.54
12,4.0,7.0,5.0,15.0,4.0,7.0,3.0,11.0,1.0,1.0,0.6,0.73
13,7.0,12.0,7.0,25.0,7.0,12.0,6.0,24.0,1.0,1.0,0.86,0.96
14,9.0,8.0,9.0,29.0,8.0,7.0,7.0,29.0,0.89,0.88,0.78,1.0
15,9.0,5.0,12.0,15.0,3.0,2.0,2.0,8.0,0.33,0.4,0.17,0.53
16,5.0,19.0,9.0,30.0,0.0,0.0,0.0,1.0,0.1,0.03,0.06,0.03
17,5.0,3.0,2.0,14.0,5.0,3.0,2.0,14.0,1.0,1.0,1.0,1.0
18,5.0,9.0,5.0,21.0,5.0,9.0,4.0,21.0,1.0,1.0,0.8,1.0
19,10.0,13.0,7.0,28.0,10.0,13.0,7.0,28.0,1.0,1.0,1.0,1.0
20,10.0,5.0,12.0,29.0,0.0,0.0,0.0,1.0,0.05,0.1,0.04,0.03
21,4.0,8.0,3.0,14.0,4.0,8.0,2.0,10.0,1.0,1.0,0.67,0.71
22,8.0,19.0,7.0,37.0,5.0,12.0,6.0,19.0,0.62,0.63,0.86,0.51
23,6.0,9.0,3.0,21.0,6.0,9.0,3.0,21.0,1.0,1.0,1.0,1.0
24,9.0,12.0,8.0,35.0,9.0,12.0,6.0,31.0,1.0,1.0,0.75,0.89
25,5.0,6.0,7.0,16.0,5.0,5.0,5.0,15.0,1.0,0.83,0.71,0.94
26,6.0,14.0,4.0,20.0,6.0,14.0,4.0,20.0,1.0,1.0,1.0,1.0
27,11.0,6.0,6.0,26.0,5.0,6.0,0.0,11.0,0.45,1.0,0.08,0.42
28,3.0,5.0,4.0,12.0,3.0,5.0,3.0,12.0,1.0,1.0,0.75,1.0
29,6.0,15.0,4.0,24.0,6.0,15.0,4.0,24.0,1.0,1.0,1.0,1.0
30,6.0,13.0,3.0,19.0,4.0,7.0,5.0,10.0,0.67,0.54,1.67,0.53
31,4.0,4.0,5.0,12.0,4.0,3.0,4.0,9.0,1.0,0.75,0.8,0.75
32,5.0,5.0,5.0,12.0,5.0,5.0,5.0,12.0,1.0,1.0,1.0,1.0
33,6.0,11.0,5.0,26.0,6.0,12.0,3.0,16.0,1.0,1.09,0.6,0.62
34,6.0,10.0,5.0,19.0,6.0,8.0,4.0,17.0,1.0,0.8,0.8,0.89
35,9.0,11.0,12.0,31.0,2.0,4.0,1.0,3.0,0.22,0.36,0.08,0.1
36,8.0,9.0,5.0,22.0,3.0,3.0,3.0,9.0,0.38,0.33,0.6,0.41
37,5.0,7.0,3.0,13.0,3.0,3.0,2.0,7.0,0.6,0.43,0.67,0.54
38,10.0,16.0,12.0,38.0,1.0,2.0,0.0,3.0,0.1,0.12,0.04,0.08
39,5.0,4.0,2.0,12.0,5.0,4.0,2.0,12.0,1.0,1.0,1.0,1.0
40,7.0,4.0,4.0,9.0,7.0,2.0,3.0,11.0,1.0,0.5,0.75,1.22
41,2.0,4.0,4.0,8.0,1.0,4.0,2.0,4.0,0.5,1.0,0.5,0.5
42,4.0,6.0,9.0,15.0,4.0,6.0,9.0,15.0,1.0,1.0,1.0,1.0
43,7.0,12.0,12.0,26.0,6.0,12.0,8.0,14.0,0.86,1.0,0.67,0.54
44,4.0,8.0,6.0,17.0,4.0,3.0,2.0,9.0,1.0,0.38,0.33,0.53
45,6.0,5.0,3.0,10.0,6.0,5.0,3.0,10.0,1.0,1.0,1.0,1.0
46,4.0,6.0,3.0,14.0,4.0,6.0,2.0,12.0,1.0,1.0,0.67,0.86
47,9.0,6.0,9.0,24.0,5.0,6.0,8.0,16.0,0.56,1.0,0.89,0.67
48,5.0,11.0,7.0,14.0,5.0,10.0,6.0,13.0,1.0,0.91,0.86,0.93
49,7.0,3.0,3.0,18.0,4.0,3.0,1.0,9.0,0.57,1.0,0.33,0.5
50,7.0,3.0,3.0,14.0,7.0,3.0,3.0,14.0,1.0,1.0,1.0,1.0
51,3.0,10.0,6.0,15.0,2.0,3.0,1.0,7.0,0.67,0.3,0.17,0.47
52,6.0,17.0,7.0,24.0,6.0,17.0,7.0,23.0,1.0,1.0,1.0,0.96
53,5.0,5.0,1.0,10.0,4.0,3.0,1.0,10.0,0.8,0.6,1.0,1.0
54,4.0,13.0,8.0,18.0,4.0,13.0,7.0,18.0,1.0,1.0,0.88,1.0
55,10.0,5.0,6.0,22.0,7.0,5.0,2.0,17.0,0.7,1.0,0.33,0.77
56,5.0,3.0,1.0,11.0,5.0,4.0,1.0,11.0,1.0,1.33,1.0,1.0
57,5.0,7.0,7.0,17.0,5.0,8.0,8.0,18.0,1.0,1.14,1.14,1.06
58,5.0,6.0,5.0,15.0,6.0,5.0,5.0,18.0,1.2,0.83,1.0,1.2
59,8.0,18.0,11.0,39.0,8.0,18.0,10.0,38.0,1.0,1.0,0.91,0.97
60,6.0,3.0,3.0,14.0,6.0,3.0,1.0,14.0,1.0,1.0,0.33,1.0
61,11.0,9.0,7.0,24.0,11.0,9.0,5.0,24.0,1.0,1.0,0.71,1.0
62,5.0,12.0,4.0,18.0,0.0,0.0,0.0,1.0,0.1,0.04,0.12,0.06
63,5.0,8.0,8.0,15.0,3.0,3.0,3.0,8.0,0.6,0.38,0.38,0.53
64,7.0,10.0,8.0,23.0,7.0,10.0,8.0,23.0,1.0,1.0,1.0,1.0
65,5.0,5.0,5.0,12.0,5.0,4.0,4.0,11.0,1.0,0.8,0.8,0.92
66,5.0,7.0,1.0,16.0,5.0,7.0,1.0,16.0,1.0,1.0,1.0,1.0
67,5.0,2.0,6.0,9.0,5.0,2.0,6.0,9.0,1.0,1.0,1.0,1.0
68,4.0,7.0,3.0,14.0,4.0,7.0,3.0,14.0,1.0,1.0,1.0,1.0
69,9.0,3.0,5.0,16.0,9.0,3.0,5.0,16.0,1.0,1.0,1.0,1.0
70,4.0,10.0,7.0,18.0,5.0,10.0,5.0,17.0,1.25,1.0,0.71,0.94
71,8.0,13.0,8.0,37.0,6.0,13.0,4.0,24.0,0.75,1.0,0.5,0.65
72,3.0,3.0,3.0,10.0,3.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0
73,6.0,12.0,7.0,21.0,6.0,16.0,9.0,24.0,1.0,1.33,1.29,1.14
74,4.0,5.0,4.0,15.0,2.0,2.0,1.0,2.0,0.5,0.4,0.25,0.13
75,7.0,8.0,3.0,17.0,7.0,8.0,3.0,17.0,1.0,1.0,1.0,1.0
76,4.0,11.0,4.0,22.0,5.0,11.0,1.0,17.0,1.25,1.0,0.25,0.77
77,5.0,5.0,6.0,15.0,5.0,3.0,4.0,8.5,1.0,0.6,0.67,0.57
78,6.0,5.0,8.0,24.0,6.0,5.0,5.0,22.0,1.0,1.0,0.62,0.92
79,5.0,10.0,5.0,24.0,3.0,4.0,1.0,8.0,0.6,0.4,0.2,0.33
80,7.0,9.0,7.0,24.0,6.0,8.0,5.0,19.0,0.86,0.89,0.71,0.79
81,7.0,12.0,7.0,29.0,3.0,12.0,2.0,13.0,0.43,1.0,0.29,0.45
82,7.0,15.0,5.0,17.0,9.0,7.0,4.0,18.0,1.29,0.47,0.8,1.06
83,9.0,6.0,8.0,25.0,4.0,5.0,3.0,10.0,0.44,0.83,0.38,0.4
84,4.0,8.0,2.0,13.0,4.0,8.0,2.0,12.0,1.0,1.0,1.0,0.92
