MaxDepDepth, 7, MaxDepLength, 2, DiffWords, 3, WordCount, 11.0, FreqRank, 10.55, 
MaxDepDepth, 9, MaxDepLength, 7, DiffWords, 2, WordCount, 16.0, FreqRank, 10.6, 
MaxDepDepth, 5, MaxDepLength, 8, DiffWords, 4, WordCount, 15.0, FreqRank, 9.47, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 1, WordCount, 8.0, FreqRank, 8.77, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 2, WordCount, 14.0, FreqRank, 10.2, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 4, WordCount, 21.0, FreqRank, 9.6, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 2, WordCount, 14.0, FreqRank, 9.0, 
MaxDepDepth, 4, MaxDepLength, 3, DiffWords, 4, WordCount, 9.0, FreqRank, 11.76, 
MaxDepDepth, 7, MaxDepLength, 8, DiffWords, 3, WordCount, 15.0, FreqRank, 9.59, 
MaxDepDepth, 9, MaxDepLength, 13, DiffWords, 9, WordCount, 33.0, FreqRank, 8.23, 
MaxDepDepth, 5, MaxDepLength, 14, DiffWords, 3, WordCount, 13.0, FreqRank, 8.17, 
MaxDepDepth, 4, MaxDepLength, 7, DiffWords, 4, WordCount, 14.0, FreqRank, 10.28, 
MaxDepDepth, 7, MaxDepLength, 12, DiffWords, 7, WordCount, 25.0, FreqRank, 12.06, 
MaxDepDepth, 9, MaxDepLength, 8, DiffWords, 9, WordCount, 29.0, FreqRank, 9.67, 
MaxDepDepth, 4, MaxDepLength, 2, DiffWords, 3, WordCount, 8.0, FreqRank, 10.32, 
MaxDepDepth, 5, MaxDepLength, 10, DiffWords, 5, WordCount, 16.0, FreqRank, 11.08, 
MaxDepDepth, 5, MaxDepLength, 3, DiffWords, 2, WordCount, 14.0, FreqRank, 8.88, 
MaxDepDepth, 3, MaxDepLength, 3, DiffWords, 1, WordCount, 9.0, FreqRank, 9.54, 
MaxDepDepth, 10, MaxDepLength, 13, DiffWords, 7, WordCount, 28.0, FreqRank, 9.49, 
MaxDepDepth, 2, MaxDepLength, 2, DiffWords, 1, WordCount, 5.0, FreqRank, 11.55, 
MaxDepDepth, 3, MaxDepLength, 5, DiffWords, 2, WordCount, 11.0, FreqRank, 8.58, 
MaxDepDepth, 4, MaxDepLength, 12, DiffWords, 3, WordCount, 13.0, FreqRank, 8.91, 
MaxDepDepth, 6, MaxDepLength, 9, DiffWords, 3, WordCount, 21.0, FreqRank, 8.97, 
MaxDepDepth, 9, MaxDepLength, 12, DiffWords, 6, WordCount, 31.0, FreqRank, 9.85, 
MaxDepDepth, 5, MaxDepLength, 6, DiffWords, 7, WordCount, 16.0, FreqRank, 9.12, 
MaxDepDepth, 4, MaxDepLength, 5, DiffWords, 4, WordCount, 13.0, FreqRank, 8.33, 
MaxDepDepth, 8, MaxDepLength, 3, DiffWords, 6, WordCount, 16.0, FreqRank, 8.23, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 3, WordCount, 11.0, FreqRank, 9.03, 
MaxDepDepth, 6, MaxDepLength, 7, DiffWords, 1, WordCount, 11.0, FreqRank, 8.21, 
MaxDepDepth, 3, MaxDepLength, 4, DiffWords, 0, WordCount, 5.0, FreqRank, 10.49, 
MaxDepDepth, 4, MaxDepLength, 8, DiffWords, 5, WordCount, 16.0, FreqRank, 10.2, 
MaxDepDepth, 5, MaxDepLength, 5, DiffWords, 5, WordCount, 12.0, FreqRank, 9.11, 
MaxDepDepth, 8, MaxDepLength, 12, DiffWords, 5, WordCount, 24.0, FreqRank, 10.2, 
MaxDepDepth, 6, MaxDepLength, 10, DiffWords, 5, WordCount, 19.0, FreqRank, 7.41, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 1, WordCount, 1.0, FreqRank, 9.69, 
MaxDepDepth, 8, MaxDepLength, 8, DiffWords, 4, WordCount, 20.0, FreqRank, 10.33, 
MaxDepDepth, 2, MaxDepLength, 1, DiffWords, 2, WordCount, 3.0, FreqRank, 7.8, 
MaxDepDepth, 0, MaxDepLength, 0, DiffWords, 1, WordCount, 1.0, FreqRank, 9.6, 
MaxDepDepth, 5, MaxDepLength, 4, DiffWords, 2, WordCount, 12.0, FreqRank, 9.31, 
