MaxDepDepth,free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.17759999999999998,bertscore_recall_hyp_vs_ref,-0.124,bertscore_f1_hyp_vs_ref,0.0218,bertscore_precision_hyp_vs_src,0.1406,bertscore_recall_hyp_vs_src,-0.2488,bertscore_f1_hyp_vs_src,-0.0616,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.37859999999999994,bertscore_recall_hyp_vs_ref,0.4444,bertscore_f1_hyp_vs_ref,0.4104,bertscore_precision_hyp_vs_src,0.7512000000000001,bertscore_recall_hyp_vs_src,0.6516,bertscore_f1_hyp_vs_src,0.7008,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.33340000000000003,bertscore_recall_hyp_vs_ref,0.44820000000000004,bertscore_f1_hyp_vs_ref,0.3894,bertscore_precision_hyp_vs_src,0.7253999999999999,bertscore_recall_hyp_vs_src,0.6894,bertscore_f1_hyp_vs_src,0.7072,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-2.1_prompt/level-2.1_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.37179999999999996,bertscore_recall_hyp_vs_ref,0.493,bertscore_f1_hyp_vs_ref,0.43100000000000005,bertscore_precision_hyp_vs_src,0.7534,bertscore_recall_hyp_vs_src,0.7285999999999999,bertscore_f1_hyp_vs_src,0.7405999999999999,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.4378,bertscore_recall_hyp_vs_ref,0.5238,bertscore_f1_hyp_vs_ref,0.4795999999999999,bertscore_precision_hyp_vs_src,0.7386,bertscore_recall_hyp_vs_src,0.6414000000000001,bertscore_f1_hyp_vs_src,0.6884000000000001,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-3_prompt/level-3_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.3396,bertscore_recall_hyp_vs_ref,0.4686,bertscore_f1_hyp_vs_ref,0.40280000000000005,bertscore_precision_hyp_vs_src,0.7296,bertscore_recall_hyp_vs_src,0.7186,bertscore_f1_hyp_vs_src,0.7229999999999999,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.4795999999999999,bertscore_recall_hyp_vs_ref,0.5124,bertscore_f1_hyp_vs_ref,0.49499999999999994,bertscore_precision_hyp_vs_src,0.7434000000000001,bertscore_recall_hyp_vs_src,0.6024,bertscore_f1_hyp_vs_src,0.6706000000000001,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_prompt_fs/level-4_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepDepth,level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True,bertscore_precision_hyp_vs_ref,0.45099999999999996,bertscore_recall_hyp_vs_ref,0.49000000000000005,bertscore_f1_hyp_vs_ref,0.46959999999999996,bertscore_precision_hyp_vs_src,0.6984,bertscore_recall_hyp_vs_src,0.5650000000000001,bertscore_f1_hyp_vs_src,0.6297999999999999,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepDepth/level-4_feedbackloop_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_5_temp_0_chain_True_seed_368914/easse_stats.csv
MaxDepLength,free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.17320000000000002,bertscore_recall_hyp_vs_ref,-0.14,bertscore_f1_hyp_vs_ref,0.0108,bertscore_precision_hyp_vs_src,0.16940000000000002,bertscore_recall_hyp_vs_src,-0.2378,bertscore_f1_hyp_vs_src,-0.0428,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/free_style/free_style-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
MaxDepLength,no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False,bertscore_precision_hyp_vs_ref,0.3426,bertscore_recall_hyp_vs_ref,0.4104,bertscore_f1_hyp_vs_ref,0.375,bertscore_precision_hyp_vs_src,0.7256,bertscore_recall_hyp_vs_src,0.6342000000000001,bertscore_f1_hyp_vs_src,0.6792,, experiment_path, experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829,experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_473829/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_921405/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_184623/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_756301/easse_stats.csv; experiments/x_ablation_study/llama_3_70b_instruct_sglang/MaxDepLength/no_sys_prompt/no_sys_prompt-gold-filtered_wiki.valid_v1.1.src-100_llama_3_70b_instruct_sglang_examples_0_temp_0_chain_False_seed_368914/easse_stats.csv
